,Team,OFFENSE: Pts/Poss,OFFENSE: eFG%,OFFENSE: TOV%,OFFENSE: ORB%,OFFENSE: FT Rate,DEFENSE: Pts/Poss,DEFENSE: eFG%,DEFENSE: TOV%,DEFENSE: ORB%,DEFENSE: FT Rate,year,team_year,eFG%,Loc eFG%,Accuracy at Rim,Accuracy on Short Midrange,Accuracy on Long Midrange,Accuracy on All Midrange,Accuracy on Corner Threes,Accuracy on Non Corner Threes,Accuracy on All Threes,HALFCOURT: Pts/Play,HALFCOURT: OREB%,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss,OFF STEALS: Freq,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play,Frequency Rim,Frequency Short Midrange,Frequency Long Midrange,Frequency all Midrange,Frequency Corner Threes,Frequency Non Corner Threes,Frequency All Threes
277,Orlando,105.6,0.495,0.131,0.239,18.1,114.7,0.549,0.129,0.245,17.1,2021,Orlando 2021,0.495,0.528,0.605,0.393,0.403,0.397,0.361,0.348,0.35,88.7,0.242,0.802,18.5,16.4,110.0,2.5,0.145,125.3,1.3,0.62,135.1,1.2,0.277,120.4,0.279,0.232,0.154,0.386,0.056,0.279,0.335
278,Oklahoma City,103.9,0.514,0.16,0.238,17.1,115.1,0.549,0.125,0.249,16.9,2021,Oklahoma City 2021,0.514,0.552,0.595,0.409,0.386,0.403,0.38,0.34,0.348,89.9,0.247,0.812,16.9,16.3,100.6,1.1,0.139,115.5,1.0,0.634,130.3,0.2,0.263,109.9,0.365,0.196,0.072,0.268,0.077,0.29,0.367
279,Average,111.4,0.531,0.14,0.261,19.0,111.4,0.531,0.14,0.261,19.0,2022,Average 2022,0.531,0.535,0.648,0.425,0.411,0.42,0.383,0.346,0.355,94.9,0.265,0.8,19.7,17.3,110.7,2.7,0.15,124.3,1.6,0.623,138.0,1.1,0.282,117.7,0.324,0.206,0.102,0.308,0.094,0.274,0.368
280,Phoenix,115.4,0.552,0.127,0.245,18.0,106.6,0.51,0.148,0.26,18.1,2022,Phoenix 2022,0.552,0.514,0.677,0.492,0.462,0.482,0.396,0.364,0.373,99.5,0.247,0.796,18.8,17.0,108.1,3.7,0.155,131.9,2.1,0.617,145.6,1.7,0.267,126.1,0.246,0.281,0.143,0.424,0.093,0.237,0.33
281,Utah,117.5,0.562,0.144,0.282,20.6,109.9,0.522,0.124,0.252,15.4,2022,Utah 2022,0.562,0.539,0.691,0.451,0.416,0.446,0.398,0.359,0.37,100.7,0.296,0.808,23.1,18.8,120.0,2.5,0.139,123.6,1.5,0.598,140.2,1.0,0.254,116.0,0.304,0.221,0.04,0.261,0.115,0.32,0.435
282,Golden State,112.6,0.553,0.153,0.257,17.8,106.9,0.514,0.153,0.256,20.0,2022,Golden State 2022,0.553,0.539,0.701,0.426,0.378,0.409,0.347,0.371,0.365,97.5,0.26,0.799,19.0,17.0,108.9,2.3,0.153,120.2,1.8,0.615,135.1,0.6,0.25,110.9,0.312,0.172,0.089,0.262,0.102,0.324,0.427
283,Miami,113.5,0.545,0.15,0.271,20.2,108.1,0.524,0.157,0.251,20.3,2022,Miami 2022,0.545,0.535,0.655,0.423,0.385,0.411,0.417,0.366,0.383,96.5,0.277,0.806,18.6,17.0,106.9,3.6,0.145,132.9,1.6,0.561,141.6,2.0,0.276,130.1,0.309,0.217,0.095,0.312,0.124,0.256,0.38
284,Boston,112.1,0.53,0.14,0.264,19.9,106.6,0.502,0.144,0.266,18.3,2022,Boston 2022,0.53,0.532,0.683,0.406,0.412,0.409,0.392,0.331,0.347,96.2,0.268,0.808,20.6,18.1,110.5,1.9,0.139,120.6,1.5,0.599,138.8,0.4,0.248,112.4,0.302,0.201,0.111,0.312,0.098,0.287,0.385
285,Memphis,114.9,0.524,0.131,0.326,18.5,109.6,0.527,0.15,0.259,18.8,2022,Memphis 2022,0.523,0.536,0.637,0.42,0.395,0.415,0.365,0.345,0.35,92.6,0.329,0.747,26.9,22.6,115.3,4.2,0.188,127.1,2.7,0.665,146.0,1.3,0.339,114.7,0.35,0.268,0.065,0.333,0.08,0.236,0.317
286,Milwaukee,115.2,0.548,0.133,0.258,19.8,110.5,0.532,0.133,0.241,16.4,2022,Milwaukee 2022,0.548,0.535,0.673,0.435,0.411,0.426,0.39,0.362,0.369,98.9,0.269,0.785,20.4,17.8,111.8,2.7,0.169,123.1,1.5,0.602,138.5,1.4,0.328,118.4,0.305,0.189,0.101,0.29,0.104,0.301,0.404
287,Minnesota,113.9,0.538,0.143,0.281,18.8,110.2,0.531,0.165,0.282,23.2,2022,Minnesota 2022,0.538,0.545,0.642,0.423,0.381,0.411,0.385,0.349,0.358,96.0,0.289,0.776,22.8,19.9,111.0,2.7,0.167,122.5,1.8,0.694,135.0,0.8,0.306,114.1,0.34,0.173,0.063,0.235,0.103,0.322,0.425
288,Cleveland,111.0,0.536,0.152,0.266,19.5,107.8,0.513,0.144,0.265,16.0,2022,Cleveland 2022,0.536,0.541,0.663,0.399,0.428,0.407,0.348,0.353,0.351,93.2,0.278,0.803,21.5,18.7,112.0,3.2,0.143,129.5,1.8,0.581,146.8,1.4,0.269,121.0,0.355,0.203,0.083,0.287,0.09,0.269,0.359
289,Dallas,112.3,0.534,0.128,0.245,18.6,109.1,0.523,0.142,0.253,18.0,2022,Dallas 2022,0.534,0.527,0.685,0.449,0.412,0.437,0.397,0.33,0.348,98.7,0.252,0.833,14.9,14.6,100.0,1.1,0.128,114.8,0.7,0.564,122.4,0.4,0.234,111.6,0.269,0.225,0.104,0.329,0.11,0.292,0.402
290,Philadelphia,112.6,0.532,0.129,0.228,22.5,110.0,0.52,0.137,0.264,18.9,2022,Philadelphia 2022,0.532,0.529,0.658,0.413,0.443,0.424,0.373,0.36,0.364,98.3,0.236,0.812,17.2,15.2,110.6,2.5,0.146,125.9,1.7,0.634,140.1,0.9,0.268,118.9,0.31,0.235,0.12,0.355,0.087,0.248,0.335
291,Denver,113.2,0.552,0.147,0.25,18.7,110.6,0.534,0.133,0.231,17.8,2022,Denver 2022,0.551,0.54,0.69,0.444,0.434,0.441,0.377,0.343,0.352,97.4,0.252,0.802,19.0,16.1,115.8,3.0,0.156,127.6,1.2,0.638,129.4,1.6,0.289,125.2,0.334,0.182,0.099,0.281,0.104,0.281,0.385
292,Chicago,114.3,0.549,0.13,0.233,19.9,112.8,0.537,0.133,0.251,19.4,2022,Chicago 2022,0.549,0.528,0.651,0.467,0.438,0.453,0.435,0.356,0.379,99.2,0.232,0.817,16.8,14.8,111.7,3.8,0.141,133.2,2.3,0.634,156.4,1.4,0.264,120.8,0.32,0.191,0.18,0.372,0.092,0.217,0.309
293,Toronto,112.0,0.51,0.131,0.307,17.7,110.7,0.537,0.165,0.281,20.4,2022,Toronto 2022,0.51,0.528,0.621,0.41,0.393,0.404,0.408,0.338,0.356,90.9,0.312,0.759,23.5,21.0,107.5,3.4,0.183,124.3,2.0,0.643,137.2,1.4,0.359,118.0,0.303,0.227,0.124,0.351,0.088,0.258,0.346
294,Atlanta,115.0,0.542,0.122,0.257,20.4,114.7,0.545,0.126,0.25,17.6,2022,Atlanta 2022,0.542,0.53,0.652,0.427,0.431,0.428,0.401,0.368,0.376,100.1,0.256,0.808,18.3,17.4,102.2,2.9,0.139,127.8,1.2,0.576,136.4,1.4,0.27,122.6,0.31,0.214,0.125,0.338,0.085,0.267,0.352
295,Charlotte,112.6,0.535,0.13,0.257,17.6,112.8,0.544,0.148,0.275,19.0,2022,Charlotte 2022,0.535,0.55,0.635,0.372,0.43,0.388,0.368,0.358,0.361,95.2,0.26,0.78,19.1,17.4,107.0,3.9,0.17,129.5,2.5,0.714,142.9,1.5,0.312,123.3,0.374,0.175,0.065,0.24,0.117,0.269,0.386
296,Brooklyn,113.3,0.537,0.139,0.262,19.4,113.5,0.525,0.132,0.279,20.1,2022,Brooklyn 2022,0.536,0.527,0.62,0.455,0.477,0.464,0.382,0.355,0.362,96.9,0.256,0.802,19.3,17.0,110.1,2.9,0.153,126.1,1.1,0.648,126.9,1.8,0.303,125.7,0.306,0.211,0.144,0.355,0.083,0.256,0.339
297,LA Clippers,108.8,0.529,0.145,0.241,17.1,109.0,0.512,0.139,0.276,16.5,2022,LA Clippers 2022,0.529,0.524,0.64,0.452,0.376,0.42,0.411,0.362,0.373,95.0,0.241,0.799,15.9,14.8,104.5,1.3,0.164,113.7,1.0,0.613,126.4,0.4,0.319,108.9,0.282,0.211,0.144,0.355,0.086,0.278,0.364
298,New York,110.2,0.513,0.139,0.279,20.3,110.9,0.521,0.13,0.248,20.0,2022,New York 2022,0.513,0.537,0.62,0.373,0.379,0.376,0.379,0.35,0.357,91.7,0.288,0.803,21.9,19.1,111.6,2.7,0.137,126.1,1.5,0.635,137.2,1.2,0.248,120.6,0.324,0.182,0.105,0.288,0.086,0.303,0.389
299,San Antonio,112.0,0.528,0.126,0.268,15.0,112.8,0.536,0.137,0.277,17.5,2022,San Antonio 2022,0.528,0.528,0.639,0.453,0.419,0.443,0.381,0.344,0.353,95.1,0.271,0.787,19.8,18.1,106.4,2.8,0.162,123.3,1.9,0.667,140.6,0.7,0.319,112.7,0.321,0.253,0.113,0.367,0.079,0.234,0.313
300,Indiana,112.4,0.533,0.147,0.292,18.4,114.7,0.54,0.13,0.26,20.9,2022,Indiana 2022,0.533,0.542,0.649,0.422,0.415,0.42,0.369,0.341,0.348,94.7,0.293,0.81,21.4,18.3,113.2,2.5,0.134,123.4,1.4,0.646,136.7,1.0,0.25,116.0,0.355,0.186,0.096,0.282,0.096,0.266,0.363
301,LA Lakers,109.4,0.534,0.146,0.242,18.4,112.2,0.538,0.144,0.269,19.0,2022,LA Lakers 2022,0.535,0.547,0.657,0.388,0.393,0.39,0.387,0.337,0.349,93.8,0.245,0.787,18.1,16.6,106.2,2.7,0.17,122.6,1.5,0.587,136.6,1.3,0.346,118.0,0.385,0.141,0.12,0.261,0.087,0.267,0.354
302,New Orleans,109.7,0.516,0.148,0.281,20.1,112.5,0.541,0.14,0.248,19.9,2022,New Orleans 2022,0.516,0.536,0.634,0.436,0.4,0.422,0.379,0.316,0.332,91.1,0.29,0.792,21.7,19.0,111.4,2.9,0.156,125.7,1.4,0.63,133.0,1.6,0.299,123.3,0.342,0.202,0.118,0.32,0.087,0.25,0.338
303,Washington,110.5,0.532,0.136,0.237,19.5,113.3,0.525,0.119,0.259,20.6,2022,Washington 2022,0.532,0.532,0.697,0.408,0.413,0.409,0.399,0.323,0.343,96.3,0.242,0.817,19.0,15.4,121.0,1.7,0.135,120.1,0.9,0.589,126.5,0.9,0.27,117.2,0.329,0.231,0.11,0.341,0.088,0.242,0.33
304,Sacramento,109.7,0.525,0.143,0.253,19.6,115.6,0.55,0.133,0.271,17.8,2022,Sacramento 2022,0.525,0.533,0.655,0.422,0.423,0.422,0.377,0.334,0.344,92.8,0.257,0.802,19.1,16.3,114.9,3.1,0.153,126.8,2.1,0.615,153.2,1.0,0.299,115.9,0.323,0.235,0.095,0.33,0.083,0.264,0.347
305,Portland,109.3,0.523,0.143,0.254,19.3,115.2,0.556,0.137,0.246,20.6,2022,Portland 2022,0.523,0.54,0.6,0.425,0.404,0.417,0.385,0.35,0.358,93.2,0.266,0.818,19.9,17.3,112.5,1.7,0.129,121.0,1.4,0.615,136.8,0.3,0.231,111.7,0.331,0.167,0.101,0.268,0.092,0.309,0.401
306,Oklahoma City,103.5,0.493,0.136,0.242,16.8,111.6,0.532,0.137,0.26,16.5,2022,Oklahoma City 2022,0.493,0.534,0.594,0.433,0.393,0.424,0.345,0.311,0.318,87.9,0.236,0.809,15.6,14.7,103.5,2.4,0.145,122.0,1.6,0.622,137.8,0.9,0.258,113.8,0.313,0.237,0.068,0.305,0.085,0.297,0.381
307,Orlando,104.3,0.503,0.149,0.235,17.8,112.9,0.534,0.134,0.257,19.6,2022,Orlando 2022,0.504,0.537,0.632,0.399,0.353,0.385,0.364,0.324,0.332,88.8,0.24,0.808,17.6,14.8,117.0,1.9,0.146,119.7,1.5,0.619,138.1,0.4,0.285,110.9,0.324,0.204,0.088,0.292,0.085,0.299,0.383
308,Detroit,104.7,0.491,0.146,0.261,19.1,113.9,0.546,0.148,0.28,22.3,2022,Detroit 2022,0.491,0.541,0.595,0.374,0.382,0.377,0.358,0.318,0.33,87.1,0.257,0.799,20.1,18.3,105.7,2.5,0.141,125.0,1.5,0.607,137.8,0.9,0.281,117.7,0.353,0.193,0.103,0.296,0.1,0.251,0.351
309,Houston,107.8,0.534,0.167,0.252,20.4,117.6,0.561,0.138,0.276,20.4,2022,Houston 2022,0.534,0.556,0.636,0.366,0.303,0.352,0.35,0.354,0.353,91.9,0.257,0.832,19.9,15.8,124.5,1.4,0.121,116.7,1.2,0.609,130.4,0.4,0.23,111.9,0.393,0.148,0.042,0.19,0.08,0.337,0.417
